time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
264,0.9724107,29.767162,0.08170435,-0.22551379,127.549545,0.0,0.0,2.9366825,0.84983814,-0.18681152,0.086220704,137.39268,-0.5251754,0.5209143,-2.6184201,0.0,0.87946415,101953.85,22.86,2,44
275,1.1728383,31.167,0.09860179,-0.20759636,126.12941,0.0,0.0,0.63512945,6.3623238,-2.1698878,4.87147,135.98442,-0.8319715,0.7254451,-3.7476003,0.0,1.1074734,101951.22,22.86,2,44
286,1.388939,32.566902,0.1262331,-0.15059109,126.73782,0.0,0.0,2.4729452,9.044109,-1.4370117,5.4319043,136.75322,-1.3741912,0.9864349,-5.6214004,0.0,1.3300538,101948.58,22.86,2,44
296,1.6116494,33.928997,0.16719036,-0.05607454,126.08693,0.0,0.0,3.3570507,9.966876,-2.2345533,3.8871167,136.22871,-1.8002969,1.1004182,-7.0083747,0.0,1.5526342,101945.94,22.86,2,43
307,1.8627297,35.31444,0.22972265,0.09102953,124.887024,0.0,0.0,6.0986223,15.069297,-1.2430152,5.748047,135.54613,-2.2306638,1.1483551,-8.485897,0.0,1.8349314,101942.64,22.86,2,44
318,2.1653025,36.688015,0.31702775,0.29740456,123.95204,0.0,0.0,8.640636,20.399475,-1.2286451,7.436536,135.37369,-2.634399,1.1185277,-10.077402,0.0,2.242015,101937.83,22.85,2,44
330,2.4902635,38.049946,0.43198678,0.573602,123.04912,0.0,0.0,11.5785475,28.115805,-2.1555176,11.06499,135.82635,-3.00085,1.0205233,-11.790347,0.0,2.5785885,101933.875,22.85,2,44
341,2.848608,39.391403,0.5845517,0.9283608,119.608826,0.0,0.0,16.12798,37.088585,-3.441643,16.130457,134.58333,-3.4930022,0.757403,-14.306501,0.0,3.0237343,101928.6,22.85,2,44
352,3.2652173,40.703114,0.79113084,1.3629098,118.399765,0.0,0.0,21.47397,44.182137,-5.4247193,18.788929,135.8982,-3.7646446,0.4889564,-15.819178,0.0,3.5883095,101922.0,22.85,2,44
363,3.7631176,41.997547,1.0683962,1.8704646,116.44833,0.0,0.0,27.367403,48.741783,-7.1635036,19.234402,136.54486,-3.939348,0.18216023,-17.143301,0.0,4.315743,101913.43,22.85,2,44
374,4.337147,43.249058,1.4193635,2.431217,111.5709,0.0,0.0,33.548454,52.780357,-9.77168,19.988832,134.71985,-3.9968722,-0.113983296,-18.060493,0.0,5.043176,101904.86,22.85,2,44
385,4.9763975,44.454624,1.8415278,3.0360441,107.78568,0.0,0.0,41.735912,56.77739,-12.710369,21.627028,134.77733,-3.9776974,-0.36005938,-18.208565,0.0,5.9008965,101894.77,22.85,2,44
395,5.6718388,45.597958,2.3343437,3.656829,103.49211,0.0,0.0,49.132828,57.794365,-14.916182,21.598286,133.80016,-3.8434741,-0.61572284,-16.88018,0.0,6.7423306,101884.875,22.85,2,43
406,6.4143715,46.71727,2.9123435,4.2906,101.23669,0.0,0.0,55.723522,58.462112,-17.466877,20.03913,134.71266,-3.7316215,-0.69348717,-15.741413,0.0,7.5294785,101875.64,22.85,2,44
418,7.1714725,47.81096,3.5642936,4.927207,96.58372,0.0,0.0,62.58634,57.06631,-19.493065,19.478695,133.16788,-3.6208339,-0.7275756,-15.1384735,0.0,8.479485,101864.43,22.85,2,44
429,7.9840455,48.864143,4.279213,5.5566087,94.17057,0.0,0.0,68.00813,57.581253,-23.315516,16.310083,133.95105,-3.4898064,-0.7318367,-15.280153,0.0,9.548921,101851.91,22.85,2,44
440,8.878992,49.89257,5.0488944,6.168975,91.83626,0.0,0.0,72.540306,54.309532,-24.069946,13.076807,133.39061,-3.3545177,-0.68816084,-15.944879,0.0,9.548921,101851.91,22.85,2,44
451,9.882811,50.892048,5.864968,6.7722826,90.31478,0.0,0.0,76.73221,53.185608,-26.591902,7.9035645,134.05882,-3.2650356,-0.551807,-17.601364,0.0,10.737423,101837.89,22.84,2,44
489,12.882325,54.257473,9.371293,8.06475,87.42924,0.0,0.0,90.667145,25.188034,-28.582163,-3.3769777,132.21945,-4.042679,-0.00958738,-24.12611,0.0,15.91614,101777.03,22.84,2,44
500,14.436658,55.219475,10.369185,8.30007,88.21321,0.0,0.0,89.189804,18.777462,-25.70814,-10.99314,130.8974,-4.7872987,-0.18109496,-27.425234,0.0,16.985538,101764.5,22.84,2,44
511,15.783798,56.196873,11.3522005,8.429492,89.37067,0.0,0.0,87.80466,6.3678045,-25.032743,-13.953384,129.48195,-5.283712,-0.6562029,-29.044436,0.0,17.712948,101755.92,22.84,2,44
522,16.896833,57.196136,12.292686,8.417717,91.48075,0.0,0.0,81.73819,-8.809338,-24.723787,-14.420413,127.27613,-5.668272,-1.4125407,-30.342993,0.0,18.277504,101749.33,22.84,2,44
533,17.817612,58.229893,13.153866,8.25506,96.88331,0.0,0.0,74.41632,-22.22994,-24.37172,-16.791483,128.60536,-5.8067565,-2.372344,-31.766186,0.0,18.277504,101749.33,22.84,2,44
544,18.615715,59.314735,13.897025,7.958433,99.94491,0.0,0.0,61.79536,-31.67213,-21.38992,-19.133812,126.6654,-5.6128783,-3.3832798,-33.65916,0.0,18.85228,101742.55,22.83,2,44
555,19.291073,60.435,14.494274,7.5520563,103.80382,0.0,0.0,47.038902,-41.09122,-20.80793,-21.928799,126.076225,-4.57318,-4.743623,-34.90552,0.0,19.302824,101737.266,22.83,2,44
566,19.901793,61.595627,14.936633,7.051677,106.46595,0.0,0.0,34.271027,-49.214516,-18.257235,-29.645552,126.11215,-3.3417346,-5.3604107,-34.90552,0.0,19.823935,101731.17,22.83,2,44
577,20.480648,62.78354,15.221726,6.4859424,108.922676,0.0,0.0,18.620047,-51.8321,-13.414505,-33.554222,125.796005,-1.8066885,-5.519135,-34.90552,0.0,20.383043,101724.58,22.83,2,44
589,21.09144,63.983612,15.386237,5.8989997,108.47614,0.0,0.0,10.202341,-54.552437,-0.43110353,-39.17294,124.6464,-0.20453078,-5.1654673,-34.890606,0.0,21.056147,101716.67,22.83,2,44
600,21.769182,65.18519,15.455893,5.321525,108.707,0.0,0.0,1.2216306,-51.4025,10.99314,-35.228344,123.80575,1.2101405,-4.387824,-34.902325,0.0,21.913067,101706.59,22.82,2,44
611,22.460167,66.38695,15.464061,4.8267326,109.14778,0.0,0.0,0.01724255,-39.70043,18.185383,-17.933907,122.77828,2.3744745,-2.7505128,-34.90552,0.0,22.591574,101698.67,22.82,2,44
622,23.152136,67.59002,15.48771,4.4262185,109.063614,0.0,0.0,3.7493517,-32.891476,20.89415,-0.14370117,121.6143,2.4000409,-1.5680692,-34.90552,0.0,23.335218,101689.92,22.82,2,44
633,23.88021,68.79842,15.629983,4.0848083,109.13839,0.0,0.0,23.89483,-35.109722,21.756357,31.125673,120.45751,2.030394,-0.5635249,-34.90552,0.0,24.236277,101679.36,22.82,2,44
644,24.640455,70.00122,15.865504,3.689212,109.14065,0.0,0.0,22.679846,-35.45847,9.060359,38.43288,119.83959,1.639442,0.046871636,-34.90552,0.0,25.033354,101669.97,22.81,2,44
654,25.383678,71.17689,16.075827,3.2737353,109.451584,0.0,0.0,17.540672,-29.054787,-7.3287597,32.62735,119.401306,1.320928,0.4878911,-34.90552,0.0,25.820396,101660.74,22.81,2,43
665,26.13377,72.37584,16.258366,2.9965203,107.95644,0.0,0.0,14.670793,-23.638329,-19.658321,22.388643,117.281715,0.36645097,1.2463595,-34.90552,0.0,26.49888,101652.83,22.81,2,44
676,26.849365,73.55321,16.361462,2.7642057,107.223465,0.0,0.0,7.030569,-7.375831,-20.649858,-3.2476466,115.60041,-0.76592517,1.4679344,-34.90552,0.0,27.188221,101644.734,22.81,2,44
688,27.542805,74.73441,16.456087,2.6574185,106.164505,0.0,0.0,7.1535234,-15.118551,-22.216202,-5.618716,114.910645,-2.0314593,1.0684602,-34.90552,0.0,27.747292,101638.14,22.81,2,44
699,28.182152,75.89711,16.50463,2.5416377,104.20241,0.0,0.0,2.483427,-13.322666,-13.766572,-14.74374,113.02816,-3.086071,-0.054328486,-34.90552,0.0,27.747292,101638.14,22.81,2,44
710,28.789871,77.039406,16.49415,2.3693624,102.278824,0.0,0.0,-5.8114004,-17.048443,-5.144502,-13.306728,112.62579,-2.8698225,-2.4096282,-34.90552,0.0,28.267412,101632.016,22.8,2,44
721,29.345957,78.16256,16.412575,2.1558847,101.0542,0.0,0.0,-8.710309,-21.573566,-0.2586621,-13.342654,112.48928,-1.2389026,-3.3939326,-34.90552,0.0,28.71791,101626.734,22.8,2,44
732,29.88873,79.27091,16.265865,1.9119518,100.23784,0.0,0.0,-15.434068,-21.57935,6.6821046,-5.755232,112.85571,0.7520767,-3.1233554,-34.90552,0.0,29.23897,101620.65,22.8,2,44
742,30.408524,80.34138,16.058376,1.707182,99.1143,0.0,0.0,-19.35294,-17.193048,11.223062,5.2882032,111.26782,2.021872,-1.6852484,-34.90552,0.0,29.743744,101614.72,22.8,2,43
753,30.979918,81.44312,15.776144,1.6054661,98.07253,0.0,0.0,-26.19883,-0.43854332,9.333391,29.422815,106.64064,1.9973708,0.02876214,-34.90552,0.0,30.432034,101606.61,22.79,2,44
765,31.600067,82.364555,15.540613,1.6354002,70.99228,0.0,0.0,-18.909916,11.303261,-1.3867164,35.091827,76.03229,0.34834146,1.1121361,-34.90552,0.0,31.164745,101598.04,22.79,2,44
776,32.282795,82.93567,15.400094,1.7201155,34.09618,0.0,0.0,-10.918291,2.8070116,-7.9035645,14.082715,42.355923,-0.6924219,0.551807,-34.90552,0.0,32.022293,101587.96,22.79,2,44
787,33.027187,83.11401,15.191851,1.655475,-0.89801556,0.0,0.0,-33.13127,-14.224676,-17.474062,-27.48285,17.85487,-1.0727214,-0.5390238,-34.90552,0.0,32.92326,101577.414,22.79,2,44
798,33.806835,83.06839,14.7971945,1.6520964,-5.889478,0.0,0.0,-25.19527,8.16008,-20.060684,-16.820223,5.604346,-0.98856544,-1.4508902,-34.90552,0.0,33.779663,101567.37,22.78,2,44
809,34.591583,82.97812,14.664253,1.7628384,-10.435599,0.0,0.0,5.241805,3.755282,-2.7662475,5.3600535,-2.3638842,-0.7701862,-1.6415725,-34.90552,0.0,34.566624,101558.13,22.78,2,44
819,35.36704,82.83362,14.911965,1.6486869,-19.31293,0.0,0.0,35.975674,-30.887085,22.891598,41.953556,-7.379055,0.42184472,-0.6466155,-34.90552,0.0,35.42957,101548.055,22.78,2,43
830,36.153294,82.58116,15.258988,1.2044392,-25.168432,0.0,0.0,27.458607,-45.30215,23.006557,49.34698,-8.816067,1.4924355,0.18109496,-34.90552,0.0,36.10256,101540.14,22.78,2,44
842,36.91257,82.27567,15.289072,0.78291196,-26.008993,0.0,0.0,-4.795093,-13.465757,14.74374,10.511741,-11.783496,2.0474384,0.716923,-34.90552,0.0,37.072796,101528.78,22.77,2,44
853,37.72737,82.058846,15.2476015,0.8294297,-15.380602,0.0,0.0,6.2572603,21.070063,-7.450906,-18.501526,-10.784773,1.4327807,0.6860303,-34.90552,0.0,38.027973,101517.57,22.77,2,44
864,38.573433,81.915405,15.455454,1.0224669,-13.216684,0.0,0.0,33.64876,0.954628,-31.477741,-7.2712793,-10.051897,-0.10226539,0.099069595,-34.90552,0.0,38.89089,101507.49,22.77,2,44
875,39.41754,81.72593,15.658809,1.0017959,-20.589245,0.0,0.0,5.5237627,-4.2534866,-6.5671434,3.319497,-10.518926,-1.6170714,-1.1515509,-34.90552,0.0,38.89089,101507.49,22.77,2,44
885,40.207596,81.500725,15.676322,0.9616729,-21.333063,0.0,0.0,-3.1184464,-1.7288325,-0.71850586,6.74677,-9.972861,-0.8607337,-1.5712651,-34.90552,0.0,39.62355,101498.92,22.77,2,43
896,40.991398,81.24161,15.552928,0.9550644,-23.334898,0.0,0.0,-17.500969,1.4674692,2.2776637,19.730171,-9.843531,0.58269966,-1.1622036,-34.90552,0.0,40.41049,101489.69,22.77,2,44
908,41.729404,80.9875,15.296615,1.0508033,-21.003315,0.0,0.0,-26.129189,15.882767,7.508386,30.083841,-9.944121,1.3997575,-0.00958738,-34.90552,0.0,41.083454,101481.78,22.77,2,44
919,42.45184,80.80176,15.062778,1.3497654,-12.499495,0.0,0.0,-8.516942,28.534712,17.581839,22.6976,-8.349038,1.2964269,1.0567423,-34.90552,0.0,41.830986,101473.016,22.76,2,44
930,43.207134,80.63631,15.125938,1.5452064,-18.237473,0.0,0.0,9.717352,4.3967257,7.9179344,-3.1255004,-10.597961,0.30786142,0.59228706,-34.90552,0.0,42.731857,101462.47,22.76,2,44
941,43.991226,80.37681,15.132695,1.4240855,-28.329784,0.0,0.0,-12.432471,-19.105549,-19.392473,-19.026035,-11.158396,-0.36325517,-0.8032094,-34.90552,0.0,43.632732,101451.92,22.76,2,44
979,46.930637,79.815445,15.813831,2.0791752,-9.872108,0.0,0.0,43.987724,10.6575775,9.707014,42.923542,-10.5764065,0.5613944,0.31638354,-34.90552,0.0,46.129135,101422.75,22.76,2,44
990,47.584282,79.667816,16.26727,2.0527103,-18.801453,0.0,0.0,28.334099,-13.631705,17.481247,25.629105,-10.346484,0.69668293,0.7637946,-34.90552,0.0,46.80208,101414.84,22.76,2,44
1002,48.322983,79.41849,16.312164,1.9265504,-24.44523,0.0,0.0,-16.086996,2.931969,6.638994,-17.474062,-11.496094,0.7765778,0.49428272,-34.90552,0.0,47.777313,101403.445,22.75,2,45
1013,49.100296,79.21387,16.197792,2.1180983,-13.464201,0.0,0.0,1.0601902,26.861017,-18.53745,-16.784298,-10.518926,0.27483824,-0.4016047,-34.90552,0.0,48.678158,101392.9,22.75,2,45
1024,49.90146,79.03161,16.254791,2.2194872,-18.801287,0.0,0.0,3.422626,-0.057840586,-0.4023633,2.8883936,-9.168135,-0.42077947,-1.160073,-34.90552,0.0,49.579002,101382.34,22.75,2,45
1035,50.690796,78.798065,16.28473,2.1621256,-22.925697,0.0,0.0,-0.5501299,-8.403807,3.5853443,11.165581,-10.267448,-0.041545313,-1.2229236,-34.90552,0.0,50.37131,101373.11,22.75,2,45
1046,51.496796,78.5167,16.203764,2.028397,-25.499321,0.0,0.0,-11.046155,-14.0400915,7.450906,20.405567,-9.663904,0.83729786,-0.7222493,-34.90552,0.0,51.288437,101362.38,22.75,2,45
1056,52.28852,78.25584,16.06264,1.9464037,-22.380356,0.0,0.0,-15.477722,2.036709,12.961845,11.417058,-10.166858,1.2644689,-0.099069595,-34.90552,0.0,52.135014,101352.49,22.75,2,44
1067,53.09992,78.02797,15.97783,1.9944657,-20.632116,0.0,0.0,-2.0424862,0.7939751,0.25147706,3.9805224,-10.296189,1.0034791,0.29614353,-34.90552,0.0,53.03586,101341.94,22.75,2,45
1079,53.9237,77.79929,15.994695,1.9825956,-21.002289,0.0,0.0,2.4411383,-3.7192013,-6.2941113,-0.14370117,-10.267448,0.14274544,0.06924219,-34.90552,0.0,53.945732,101331.24,22.74,2,45
1090,54.743412,77.57046,15.9993925,1.9546585,-20.424028,0.0,0.0,-1.1715577,-0.52670026,-3.5781593,1.8250049,-9.9081955,-0.6221144,-0.97897804,-34.90552,0.0,54.792282,101321.35,22.74,2,44
1100,55.533203,77.36548,16.028772,1.9843069,-18.735283,0.0,0.0,3.4498985,3.4556718,2.0621119,-0.8909473,-9.922566,-0.21092236,-1.397627,-34.90552,0.0,55.69852,101310.805,22.74,2,43
1111,56.351902,77.16644,16.062143,2.0472171,-17.029486,0.0,0.0,2.7176964,8.800451,4.526587,5.0008006,-9.5633135,0.5113269,-1.3049489,-34.90552,0.0,56.615616,101300.07,22.74,2,44
1123,57.17526,76.98409,16.106747,2.1619809,-15.728254,0.0,0.0,3.8795846,13.391191,4.2104445,10.720107,-9.836346,0.9086706,-0.7882957,-34.90552,0.0,57.462162,101290.18,22.74,2,44
1134,57.988594,76.812096,16.155724,2.3124964,-15.467581,0.0,0.0,4.873865,14.155115,0.65384036,12.401411,-10.095008,0.80533993,-0.23542345,-34.90552,0.0,58.42267,101278.97,22.74,2,44
1145,58.844692,76.634,16.196089,2.4459786,-16.817245,0.0,0.0,2.007022,9.905327,-3.9517822,6.4018874,-9.728569,0.10972224,-0.099069595,-34.90552,0.0,58.42267,101278.97,22.74,2,44
1156,59.68274,76.44253,16.21462,2.5389442,-17.937819,0.0,0.0,1.0337332,6.7172203,-3.8583765,1.7315991,-9.714199,-0.24501082,-0.39840892,-34.90552,0.0,59.26922,101269.08,22.74,2,44
1166,60.504562,76.244446,16.223217,2.5936432,-19.394135,0.0,0.0,0.824944,1.4281378,1.0202783,-1.1783496,-9.599238,-0.30146983,-0.7637946,-34.90552,0.0,60.170033,101258.53,22.74,2,43
1177,61.34884,76.03049,16.241838,2.5991728,-19.684423,0.0,0.0,2.6909106,-1.0268433,3.3841627,1.5735278,-9.584868,-0.083090626,-1.0205233,-34.90552,0.0,61.08506,101247.8,22.73,2,44
