time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
264,0.6001859,14.54777,0.18955913,1.0915062,53.71854,0.0,0.0,4.39702,0.6527419,-0.3305127,-4.7062135,63.50873,0.15233281,-0.011717909,-0.6466155,0.0,0.5395871,101482.77,36.55,2,45
274,0.6978539,15.18336,0.20254464,1.1289198,60.272587,0.0,0.0,-1.2625973,1.8967705,-4.8499146,-0.8334668,69.94655,0.14594123,-0.020240024,-0.8543421,0.0,0.6645441,101481.42,36.55,2,44
285,0.7917251,15.897634,0.2092864,1.1696806,67.09911,0.0,0.0,0.5216682,6.062207,-1.6094532,1.5304174,77.11723,0.12783173,-0.015978966,-1.3305153,0.0,0.72134274,101480.75,36.55,2,44
296,0.89059657,16.6445,0.2221494,1.2082664,65.72892,0.0,0.0,-0.6968694,6.661624,-2.2561085,2.7375073,75.752075,-0.037284255,-0.046871636,-2.0719395,0.0,0.84061986,101479.41,36.55,2,44
308,0.9887839,17.429266,0.22947389,1.2495694,72.57266,0.0,0.0,4.7100267,12.461231,4.756509,4.749324,83.18143,-0.13209279,0.06711166,-2.6908581,0.0,0.9030984,101478.734,36.55,2,44
319,1.0754186,18.230207,0.21299946,1.3675119,74.09673,0.0,0.0,-2.1665213,6.1792345,-4.5912523,2.191443,84.007706,-0.2695119,0.24074976,-3.086071,0.0,0.95989704,101478.06,36.55,2,44
330,1.1675544,19.046347,0.23645687,1.4151179,74.034035,0.0,0.0,-2.1861515,8.933287,-3.8080812,4.28948,84.151405,-0.2066613,0.35899413,-3.496198,0.0,1.1416527,101476.04,36.55,2,44
341,1.2912462,19.865416,0.24949996,1.5081061,74.50664,0.0,0.0,3.0854027,0.119105816,-2.938689,-6.1935205,84.093925,-0.14594123,0.49747851,-3.5878108,0.0,1.3234084,101474.016,36.55,2,44
352,1.4291312,20.681787,0.27059123,1.6032882,73.74786,0.0,0.0,1.9661236,10.436092,-0.7256909,3.5566041,84.151405,-0.350472,0.8543421,-3.3949978,0.0,1.4426855,101472.67,36.55,2,44
363,1.5610583,21.49563,0.30935147,1.6749372,73.67074,0.0,0.0,3.1529846,11.726393,-0.21555176,3.9445972,84.266365,-0.5933523,1.1302456,-3.310842,0.0,1.6244411,101470.65,36.55,2,44
373,1.7093848,22.290974,0.3518118,1.7762891,74.17063,0.0,0.0,4.7741046,7.0241814,-1.2789404,-1.7244141,84.38133,-0.83516735,1.3848438,-3.2565134,0.0,1.6244411,101470.65,36.55,2,43
384,1.8756119,23.10991,0.40430218,1.9128735,74.4492,0.0,0.0,6.4190326,11.073602,-0.086220704,0.7688013,85.22198,-1.0641992,1.6223978,-3.2234902,0.0,1.8061968,101468.625,36.55,2,44
395,2.04866,23.926905,0.47521254,2.0534136,73.36428,0.0,0.0,7.3746123,16.999096,0.5029541,5.252278,85.04954,-1.2996227,1.8524948,-3.2170987,0.0,1.9879524,101466.61,36.55,2,44
407,2.224747,24.739761,0.5669284,2.2138193,73.22025,0.0,0.0,9.418982,18.032852,0.6322852,4.4906616,85.365685,-1.6500946,2.1582258,-3.2682314,0.0,2.1640282,101464.586,36.55,2,44
418,2.4220436,25.54364,0.6819687,2.4172442,72.74576,0.0,0.0,11.682477,18.157585,0.7113208,2.694397,85.286644,-1.8695391,2.3222766,-3.3396041,0.0,2.4082623,101461.89,36.55,2,44
429,2.6493688,26.334785,0.8230497,2.6608393,71.61156,0.0,0.0,14.456976,21.42956,1.595083,3.894302,85.32257,-2.0900488,2.4458473,-3.520699,0.0,2.709295,101458.52,36.55,2,44
440,2.9031034,27.112232,0.9913698,2.9291425,69.838394,0.0,0.0,17.01474,27.24059,2.205813,7.6592727,85.509384,-2.2935145,2.5246768,-3.8285604,0.0,3.0216877,101455.0,36.55,2,44
451,3.18419,27.878351,1.1912291,3.2309961,68.11918,0.0,0.0,19.692442,30.658009,2.4213648,9.038804,85.51657,-2.4682178,2.5768747,-4.238687,0.0,3.385199,101450.95,36.55,2,44
489,4.3204165,30.285152,2.2831347,4.75459,59.89076,0.0,0.0,30.776535,41.820316,2.5435107,14.283896,85.6962,-2.8666267,2.263687,-7.210775,0.0,4.7710857,101435.45,36.55,2,44
500,4.8457813,30.92547,2.646266,5.2376585,57.0629,0.0,0.0,34.47663,45.02095,2.1698878,16.540005,86.077,-2.915629,2.0591562,-8.469917,0.0,5.42995,101428.05,36.55,2,44
511,5.4379973,31.534899,3.048237,5.7559853,53.656918,0.0,0.0,37.598995,48.485767,0.48139894,19.255957,86.14886,-3.009372,1.7150757,-10.715495,0.0,6.2137713,101419.29,36.55,2,44
522,6.090095,32.106514,3.4857135,6.2983265,50.45105,0.0,0.0,41.55619,50.75719,-0.9196875,21.246218,86.50092,-3.0605047,1.4508902,-12.395417,0.0,7.054391,101409.86,36.55,2,44
533,6.809141,32.645824,3.9690611,6.8661294,47.20522,0.0,0.0,45.942745,52.64738,-2.8452833,23.222109,87.09728,-3.0700922,1.1611383,-13.959226,0.0,8.031069,101398.92,36.54,2,44
544,7.591789,33.14972,4.4969025,7.4428525,44.59106,0.0,0.0,49.687885,52.313435,-4.7062135,23.200554,87.205055,-3.0391996,0.9416938,-15.078818,0.0,8.996614,101388.14,36.54,2,44
555,8.425164,33.623024,5.0663667,8.014108,41.666832,0.0,0.0,53.289913,51.71839,-7.149133,23.26522,87.01824,-2.984871,0.8479505,-15.5624485,0.0,10.018957,101376.69,36.54,2,44
566,9.285419,34.067406,5.67577,8.566499,39.274754,0.0,0.0,57.44979,49.3194,-8.305928,23.099964,86.831436,-2.851713,0.89801794,-14.897723,0.0,10.922026,101366.586,36.54,2,44
578,10.126728,34.493195,6.327047,9.093847,37.7719,0.0,0.0,60.266716,46.335747,-9.599238,21.792282,86.465,-2.7760792,1.0844392,-13.637516,0.0,11.825095,101356.484,36.54,2,44
589,10.994488,34.893448,7.020453,9.579753,35.59374,0.0,0.0,64.446106,42.723732,-10.511741,22.59701,86.13448,-2.7132285,1.4040185,-11.685951,0.0,11.825095,101356.484,36.54,2,44
600,11.84472,35.286564,7.7494946,10.017205,35.42126,0.0,0.0,67.492325,37.836212,-10.008787,22.302422,86.22789,-2.6365294,1.7928401,-9.604424,0.0,12.671368,101347.05,36.54,2,44
611,12.684084,35.67678,8.508949,10.40416,34.887177,0.0,0.0,70.77736,32.936836,-10.008787,23.200554,86.33566,-2.492719,2.457565,-7.2533855,0.0,13.523319,101337.49,36.54,2,44
622,13.473589,36.07063,9.298732,10.734476,35.856686,0.0,0.0,72.275795,28.108364,-9.671089,22.52516,86.59433,-2.4053671,2.9433258,-5.820605,0.0,14.250319,101329.41,36.54,2,44
633,14.223344,36.471756,10.106859,10.998796,35.971455,0.0,0.0,74.49601,21.673748,-8.787327,24.098686,86.35722,-2.2817965,3.3886063,-4.3761063,0.0,14.971638,101321.33,36.54,2,44
643,14.981024,36.872322,10.91075,11.188403,37.214493,0.0,0.0,75.23792,15.424316,-7.4006104,24.60164,86.31411,-2.139051,3.8317564,-3.113768,0.0,15.891233,101311.06,36.53,2,43
654,15.755822,37.295265,11.742939,11.304674,38.85692,0.0,0.0,75.21584,7.114893,-4.26074,25.86621,85.96204,-1.9803267,4.266384,-2.1827269,0.0,16.675003,101302.305,36.53,2,44
666,16.524012,37.729465,12.5760145,11.3421335,39.915104,0.0,0.0,75.35871,0.5342045,-3.1973512,27.087671,86.06982,-1.6948358,4.777711,-2.0208068,0.0,17.532608,101292.72,36.53,2,44
677,17.295992,38.1725,13.401732,11.302063,40.405117,0.0,0.0,74.02872,-6.9417014,-1.6453785,28.445648,85.07828,-1.5190672,4.9822416,-3.407781,0.0,18.316378,101283.96,36.53,2,44
688,18.04992,38.628826,14.209122,11.18246,41.46049,0.0,0.0,72.54702,-14.46797,-0.64665526,29.904215,84.89147,-1.4093449,5.063202,-5.9601545,0.0,19.110891,101275.08,36.52,2,44
699,18.787354,39.09412,14.999106,10.981851,42.4739,0.0,0.0,70.329185,-22.170893,-0.48139894,31.585518,84.69747,-1.4285196,5.0099387,-8.947156,0.0,19.832165,101267.0,36.52,2,44
709,19.486166,39.55858,15.740796,10.708504,43.14377,0.0,0.0,68.09764,-28.83824,-2.4932153,33.230896,84.632805,-1.5787219,4.849084,-12.0438795,0.0,20.689741,101257.41,36.52,2,43
